Sample_ID,dataset,coding,backend,steps,hidden,delta,sample 14628,sample 48598,sample 16049,sample 7296,sample 35741,sample 41905,sample 48540,sample 6717,sample 58469,sample 48265,sample 44348,sample 18024,sample 1639,sample 9144,rob. 14628,rob. 48598,rob. 16049,rob. 7296,rob. 35741,rob. 41905,rob. 48540,rob. 6717,rob. 58469,rob. 48265,rob. 44348,rob. 18024,rob. 1639,rob. 9144
08140943,fmnist,latency,np,256,512,"delta(1,)",0.09497904777526855,0.15513110160827637,1.9144601821899414,17.807116508483887,18.171464204788208,19.54214596748352,24.884552001953125,25.086137294769287,25.326961755752563,25.649996519088745,26.018290758132935,27.08650016784668,27.432905435562134,27.89071035385132,Not robust,Not robust,Not robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08141748,mnist,latency,np,64,512,"delta(2,)",734.0310978889465,0.9548897743225098,608.5551431179047,562.203850030899,643.2698438167572,416.33408522605896,655.6434679031372,646.097174167633,1.421231985092163,682.7447445392609,633.0194652080536,658.0036158561707,0.022557973861694336,747.9350533485413,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Not robust,Robust
01222338,mnist,latency,np-psm,32,512,"delta(2,)",1014.5585815906525,716.6284177303314,165.44587445259094,1032.4296033382416,745.5712730884552,848.4823107719421,0.02582240104675293,909.9885773658752,1056.6000471115112,973.9864449501038,190.2743740081787,618.9214141368866,957.037252664566,815.447249174118,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
01281531,mnist,latency,np-bab,256,128,"delta(2,)",60.57523322105408,70.38943791389465,9.305500268936157,0.015187978744506836,85.30727219581604,43.36452770233154,115.75103640556335,58.94742774963379,143.16853284835815,103.66313147544861,87.37274837493896,0.011755943298339844,0.0204470157623291,91.23267650604248,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Not robust,Robust
01222013,mnist,latency,np-psm,32,512,"delta(2,)",786.7399270534515,746.803790807724,174.96849250793457,760.4654855728149,725.972216129303,707.1842017173767,0.02899479866027832,751.7221353054047,751.6233775615692,739.1558246612549,193.33993792533875,584.9334299564362,718.781153678894,787.0669159889221,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
01222013,mnist,latency,np-psm,16,512,"delta(2,)",614.8887715339661,575.2289574146271,166.2401864528656,569.2048904895782,535.854653596878,535.3333623409271,44.58187961578369,557.8796963691711,572.8112251758575,570.9023447036743,189.8769404888153,518.8604762554169,552.3510277271271,604.6495895385742,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08062028,mnist,latency,np,8,20,"delta(1,)",0.16727995872497559,0.17027068138122559,0.16284775733947754,0.1680600643157959,0.05347251892089844,0.0012698173522949219,0.1698291301727295,0.08326411247253418,0.0009291172027587891,0.0010297298431396484,0.0008893013000488281,0.001016378402709961,0.16792845726013184,0.03565549850463867,Not robust,Robust,Robust,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust,Robust,Not robust
01270001,mnist,latency,np-bab,256,512,"delta(1,)",3.1986873149871826,3.2635438442230225,1.4857394695281982,2.1799261569976807,2.175018548965454,2.085256338119507,3.3559529781341553,2.485039710998535,3.457765579223633,2.8883185386657715,2.6126091480255127,2.3275146484375,2.508882522583008,3.7163619995117188,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08310125,mnist,latency,milp,5,10,"delta(1,)",0.9247870445251,0.946605682373,0.7964899539948,0.7527945041656,0.9275455474854,1.0358278751373,0.7278261184692,0.8180134296417,0.7896997928619,0.7935924530029,0.9370675086975,0.7352328300476,0.9303081035614,0.8395135402679,Not robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust
09010204,fmnist,latency,milp,5,14,"delta(3,)",962.420126914978,1441.9151594638824,3938.001565694809,3296.953881263733,714.1855363845825,3269.751048564911,159.0697102546692,654.5580396652222,276.1695337295532,8425.206961393356,23486.974281072617,186.4487679004669,440.1958088874817,697.0988285541534,Robust,Not robust,Robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Robust,Not robust,Robust,Robust,Not robust
08062234,mnist,baseline,z3,5,10,"delta(3,)",120650.54195451736,72393.75162696838,11629.272849082947,inf,57672.098499298096,12987.697924852371,31738.29368162155,51404.91839051247,13367.376376390457,53172.18969488144,317250.9778499603,10631.104182720184,107037.02420091629,13215.971765995026,Not robust,Not robust,Not robust,Unknown,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Unknown,Not robust,Not robust,Not robust
09011524,fmnist,latency,milp,5,16,"delta(1,)",5.7098827362061,11.7341938018799,6.3310191631317,2.4402129650116,15.5904591083527,22.3475012779236,1.9060106277466,10.5335257053375,3.4545269012451,2.8347363471985,2.7940204143524,21.4074416160583,1.8326263427734,4.8792808055878,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Robust,Not robust,Robust,Not robust,Not robust,Robust,Robust,Not robust
